Planet Name,    UT Start,    UT Stop, UT 1st Contact, UT 4th Contact, Err(min), Reason,Frac1,Frac2,V mag, J mag,H mag,K mag,Depth, B-V,Chart,Type
Kepler-181 b,2018/03/05 09:45,2018/03/05 10:55,2018/03/05 08:05,2018/03/05 09:58,19.5, OBJ N/A,0.116,0.308,-----,13.36,12.95,12.88,0,-----,Finder,P
Kepler-314 c,2018/03/05 10:02,2018/03/05 12:47,2018/03/05 08:38,2018/03/05 11:24,4, OBJ N/A,0.493,0.496,-----,11.24,10.85,10.78,0,-----,Finder,P
Kepler-219 c,2018/03/05 09:26,2018/03/05 12:54,2018/03/05 10:21,2018/03/05 16:09,15.5, OBJ SUN,0.439,0.298,-----,12.68,12.4,12.39,0,-----,Finder,P
Kepler-190 c,2018/03/05 10:00,2018/03/05 12:54,2018/03/05 10:47,2018/03/05 12:19,11.3, N/A SUN,1,0.939,-----,12.73,12.28,12.23,0,-----,Finder,P
Kepler-444 c,2018/03/05 09:57,2018/03/05 12:54,2018/03/05 11:05,2018/03/05 13:21,7.4, N/A SUN,0.802,0.651,8.86,7.24,6.77,6.7,0,-----,Finder,P
Kepler-398 b,2018/03/05 10:12,2018/03/05 12:54,2018/03/05 11:21,2018/03/05 13:38,12.7, N/A SUN,0.678,0.589,-----,11.51,10.93,10.79,0,-----,Finder,P
Kepler-121 b,2018/03/05 11:14,2018/03/05 12:54,2018/03/05 11:58,2018/03/05 13:27,4.4, N/A SUN,0.624,0.562,-----,13.32,12.89,12.8,0,-----,Finder,P
Kepler-323 b,2018/03/05 10:51,2018/03/05 12:54,2018/03/05 12:02,2018/03/05 14:23,8.4, N/A SUN,0.367,0.433,-----,11.69,11.42,11.35,0,-----,Finder,P
Kepler-207 d,2018/03/06 09:39,2018/03/06 11:39,2018/03/06 05:42,2018/03/06 09:40,7.1, OBJ N/A,0.002,0.251,-----,12.1,11.84,11.8,0,-----,Finder,P
Kepler-323 c,2018/03/06 09:55,2018/03/06 11:28,2018/03/06 06:54,2018/03/06 09:57,10.6, OBJ N/A,0.009,0.255,-----,11.69,11.42,11.35,0,-----,Finder,P
Kepler-207 b,2018/03/06 09:39,2018/03/06 11:29,2018/03/06 06:59,2018/03/06 09:59,17.6, OBJ N/A,0.111,0.306,-----,12.1,11.84,11.8,0,-----,Finder,P
Kepler-165 b,2018/03/06 08:47,2018/03/06 11:45,2018/03/06 07:27,2018/03/06 10:19,14.7, OBJ N/A,0.537,0.519,-----,13.43,12.93,12.84,0,-----,Finder,P
Kepler-205 b,2018/03/06 09:21,2018/03/06 10:26,2018/03/06 07:31,2018/03/06 09:28,3.4, OBJ N/A,0.055,0.277,-----,11.61,10.96,10.83,0,-----,Finder,P
Kepler-129 b,2018/03/06 09:05,2018/03/06 12:52,2018/03/06 08:01,2018/03/06 15:18,20, OBJ SUN,0.521,0.261,-----,10.6,10.32,10.25,0,-----,Finder,P
Kepler-326 d,2018/03/06 09:46,2018/03/06 10:58,2018/03/06 08:31,2018/03/06 10:09,16, OBJ N/A,0.23,0.365,-----,12.23,11.78,11.67,0,-----,Finder,P
Kepler-1087 b, 2018/03/06 09:49, 2018/03/06 11:33, 2018/03/06 09:16, 2018/03/06 10:4,7     11.,0 OBJ N/A,0.642,0.571, ----,- 11.66,11.31,11.21,0, -----, Finder, P
Kepler-398 c,2018/03/06 09:50,2018/03/06 12:52,2018/03/06 09:41,2018/03/06 13:02,19.4, OBJ SUN,0.911,0.456,-----,11.51,10.93,10.79,0,-----,Finder,P
Kepler-1352 b, 2018/03/06 09:24, 2018/03/06 12:52, 2018/03/06 09:43, 2018/03/06 12:0,3     18.,8 OBJ SUN,1,0.747, ----,- 12.25,11.96,11.92,0, -----, Finder, P
 Kepler-75 b,2018/03/06 09:58,2018/03/06 12:35,2018/03/06 09:46,2018/03/06 11:38,1.1, OBJ N/A,0.896,0.698,-----,13.66,13.26,13.12,0,-----,Finder,P
Kepler-164 c,2018/03/06 09:15,2018/03/06 12:52,2018/03/06 10:02,2018/03/06 13:02,12.3, OBJ SUN,0.947,0.602,-----,13.25,13.01,12.94,0,-----,Finder,P
Kepler-194 b,2018/03/06 09:31,2018/03/06 12:52,2018/03/06 10:33,2018/03/06 12:54,18, OBJ SUN,0.99,0.713,-----,13.78,13.45,13.51,0,-----,Finder,P
Kepler-138 b,2018/03/06 10:09,2018/03/06 12:52,2018/03/06 11:06,2018/03/06 13:01,16.4, N/A SUN,0.923,0.712,-----,10.29,9.68,9.51,0,-----,Finder,P
